UF,Cidade,Urna,Data Leitura UTC,Zona,Secao,Turno,Qr Code
PE,Recife,1816527,2016-10-30 22:01:34.047,8,205,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:205 IDUE:1816527 IDCA:012789745183695945827785 VERS:5.25.0.1 LOCA:1171 APTO:338 COMP:291 FALT:47 HBMA:20 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170044 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:106 40:142 NOMI:248 BRAN:15 NULO:28 TOTC:291 HASH:0132D9DF21D0E303E31953CB94DC5F83271F9E7CC82CB68A684FBE07FB0D514D5E3BF57925685E83F03104FD96ABD76229017985AB760BC639C03D710B6EFD5B ASSI:F6B34E71D175B133094F00EC2D120D03D73C87DA1D0F5D9287B557536E28FE3B4779B69684B4AE762320CA3D4430311ABA50A4C1612CC273337D7CD5B9B97C0A
MG,Montes Claros,1295164,2016-10-30 19:21:26.557,184,217,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:MG MUNI:48658 ZONA:184 SECA:217 IDUE:1295164 IDCA:150024179114986858127600 VERS:5.25.0.1 LOCA:1090 APTO:263 COMP:214 FALT:49 HBMA:3 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170135 IDEL:221 CARG:11 TIPO:0 VERC:201610191100 23:115 40:69 NOMI:184 BRAN:9 NULO:21 TOTC:214 HASH:0139C37DFB0A5B8167955BE22966A1561D2DB7362F8B1762AD4E0263E90694902C78521B866B707DA7208A4F5048F245C308B454CA2E987A0DB0409797ABF8A8 ASSI:A5A5A442F738CEFB6B6752794F541C3C570D069D427E2EC30D5451531A36FD285F0CFCB847A31F5AA5D5C0517C185E9BACB6300B8C54C8AC3E069745D865880F
CE,Fortaleza,1619183,2016-10-30 19:01:29.387,118,219,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:CE MUNI:13897 ZONA:118 SECA:219 IDUE:1619183 IDCA:621866862750320534303482 VERS:5.25.0.1 LOCA:1350 APTO:433 COMP:368 FALT:65 HBMA:4 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170115 IDEL:221 CARG:11 TIPO:0 VERC:201610190727 12:144 22:191 NOMI:335 BRAN:7 NULO:26 TOTC:368 HASH:F593ACF8CDF436FC6C4511FA15D4566859ADDC246DC44A060B02CB23C2939F12EF1FBABF19F8677039A33E753F51458B4D4F9D35C41607C4C66B60E170451E69 ASSI:B2FDF63A4DB1D9F3A176289EB8CEF4BF52339F26030FCB6A14582583C3947F02562A5428621E6ADD758A1DBD275C34E40093B53B346366E7DE4DAC581337C307
PE,Recife,1768001,2016-10-30 20:45:55.803,8,22,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:22 AGRE:23 IDUE:1768001 IDCA:335921693809057815458095 VERS:5.25.0.1 LOCA:1040 APTO:302 COMP:264 FALT:38 HBMA:20 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170105 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:94 40:143 NOMI:237 BRAN:7 NULO:20 TOTC:264 HASH:633A3C0AD112ED8768E1B0212BFA1C821C61ABE5300A74EA23C9B31E970C7597B5B4B3A18E724FDFE96D95730D124F49DCFF7633850A41FB01AA5A4EDC6AF77A ASSI:95B6C63A2377916F769FBEDBA51CD30019209F0C7754924992E7F8698521FAC96B757960BA8C01B8407F12CFE7C2ACEFA1D6D5918FEF5CD78D6541A187E01405
PE,Recife,1811850,2016-10-30 22:00:43.633,8,233,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:233 IDUE:1811850 IDCA:891577618510696948495197 VERS:5.25.0.1 LOCA:1171 APTO:389 COMP:340 FALT:49 HBMA:17 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170027 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:92 40:202 NOMI:294 BRAN:14 NULO:32 TOTC:340 HASH:8A4FE68D4112BE9E24A2125D11DF2F3C453EFA941BA1E721B1636A02871CF501DCBD1D1EF6E2FBF70AB59ED5503F9CACFCEFDB1AD9551D3D68F5C35F34F55D4F ASSI:BD387EE541034550C593CBB0C511AEB118435BA481994ECBF43E3A49584922779E8991B7671D1C2C5630F414BEBC368CEC440C1DCEC61FA97F4251B672C6EA04
SP,Guarulhos,1769845,2016-10-30 19:31:42.563,176,251,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:64777 ZONA:176 SECA:251 IDUE:1769845 IDCA:473871119792203119424767 VERS:5.25.0.1 LOCA:1988 APTO:382 COMP:297 FALT:85 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170502 IDEL:221 CARG:11 TIPO:0 VERC:201610181803 25:33 40:215 NOMI:248 BRAN:5 NULO:44 TOTC:297 HASH:7460D1C45514F1BE949C165F86F8A03A7AFD8DB658C99BDE7A6388E1B587A95516F88FA5D05E582CD4380871EEB3DE6FED5EFDCB5FD94A0248799835D5AB04C0 ASSI:B280EDC0E8D5AA7EE883124B970AD3FBED2C772874696512194B692C7F3CD1632B843B317211F4CCBA64BCC7D8CA80CFF6CA412B385D2D53207EFD58623DAC00
MG,Belo Horizonte,1175992,2016-10-30 19:25:49.257,334,252,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:MG MUNI:41238 ZONA:334 SECA:252 IDUE:1175992 IDCA:896181640724996948373696 VERS:5.25.0.1 LOCA:1104 APTO:472 COMP:358 FALT:114 HBMA:4 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170159 IDEL:221 CARG:11 TIPO:0 VERC:201610190939 31:163 45:110 NOMI:273 BRAN:24 NULO:61 TOTC:358 HASH:8EBDEA235F1CDDBEF27EF3E7C3F43A3F1166DB1354485AC28A1F2C98F0B5E805BD244FFC2D554E5CF8FF289A2A058FECB05AD7E8A3B3DD3CD11F3A020B35F3F1 ASSI:631D11C65B849A389936A7A2FC74438C93EF62E4A7641F7FBA568819B3F949A4C1D5AC897719A9F0EF7968BC41A771C4656CBBC0B08AFFB63D51C02E21079105
SP,Osasco,1830643,2016-10-30 20:34:40.633,331,259,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:67890 ZONA:331 SECA:259 IDUE:1830643 IDCA:755934278648728738900312 VERS:5.25.0.1 LOCA:1031 APTO:393 COMP:292 FALT:101 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170233 IDEL:221 CARG:11 TIPO:0 VERC:201610181814 12:103 19:151 NOMI:254 BRAN:12 NULO:26 TOTC:292 HASH:B070BB01080B200CD8477E8F5AFEF6870DF58EA019898E60B0224A01F132553B5DEED5A98FA833E579C5AF6E813D5E05B40D03549CC9389802D6378660C0B9C7 ASSI:FD31AC5FC15F036D421E7B463193F945AAFD3F8A03040B26B0792A71222484D2473105B4F3CCC8C50E3B3710FAFDE5ED042611FF4F5D77B61A4D4E71675DC608
SP,Ribeirão Preto,1677689,2016-10-30 19:05:53.897,322,267,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:69698 ZONA:322 SECA:267 IDUE:1677689 IDCA:753538127710153336101593 VERS:5.25.0.1 LOCA:1210 APTO:200 COMP:156 FALT:44 HBMA:7 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170102 IDEL:221 CARG:11 TIPO:0 VERC:201610181820 12:90 45:36 NOMI:126 BRAN:5 NULO:25 TOTC:156 HASH:745A331A7A704A7A65419AE1D2B57B196BA98FEC9140B62569D6655177753D5BC9B0582AE632A81CE29AFABAD3CC5B545EC882C0FAC0BC9DC919D7D61BCCE8C1 ASSI:61971971C5805EB9C3236F39F2B0CA32377BC06356C49CECD9339E628AC227EA4DB35270A1878ED0C01AC30FFCBE74051C090F052274AF2A6A2BCAB37C41880A
SP,Guarulhos,1782701,2016-10-30 19:11:16.570,176,276,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:64777 ZONA:176 SECA:276 IDUE:1782701 IDCA:564780897835949221183110 VERS:5.25.0.1 LOCA:1988 APTO:380 COMP:301 FALT:79 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170208 IDEL:221 CARG:11 TIPO:0 VERC:201610181803 25:32 40:222 NOMI:254 BRAN:16 NULO:31 TOTC:301 HASH:492A0E2B9EF55297E854EF2233DE9CAEED29FE4B62BE02AF3396323624BFD89F9B6A5EAE75D426BC03BE8BE75AE03A02D6807EC9A8A752A9B73269CF1247DFA1 ASSI:FAE2A187D745339475601478B1DEDA38C48A87593285EF76B58AA7F282848ADFB2503EAA84C2C09D211D861B8F2A6615819E60880D1A5F35806ECD9205538A03
SP,Guarujá,1831443,2016-10-31 19:12:09.817,310,285,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:64750 ZONA:310 SECA:285 IDUE:1831443 IDCA:323866613838463533133980 VERS:5.25.0.1 LOCA:1317 APTO:221 COMP:167 FALT:54 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170042 IDEL:221 CARG:11 TIPO:0 VERC:201610181757 23:68 40:78 NOMI:146 BRAN:8 NULO:13 TOTC:167 HASH:EE1E1EC4AD6A46ECE335FFABBB90C6F704F2B8FB2D9C1D8C264D6744B0D8781A82C1A3C6B3741D1A70A8BD58E87FF07D9CE88238F61520D957C47E36E593EBE8 ASSI:647802C7CE7958524A74632223A8E28294D956A4E1AE71CF9A826FF4CF201F6E581E124CAA060811CBB845448EA6407DDCFB088703841D1BA1A26B8BC88E5B02
SP,Guarulhos,1782918,2016-10-30 19:09:21.510,176,292,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:64777 ZONA:176 SECA:292 IDUE:1782918 IDCA:756699788567490292178790 VERS:5.25.0.1 LOCA:1988 APTO:379 COMP:302 FALT:77 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170148 IDEL:221 CARG:11 TIPO:0 VERC:201610181803 25:39 40:213 NOMI:252 BRAN:9 NULO:41 TOTC:302 HASH:BEE83244C2469EC5BA059A1C462B24934092B794E1A742EE152F3642C13E270C77A02232269EC9E00A2927596377F327B1F89D4A2F43DF0F3FBF86BBDB9B1D01 ASSI:20E039CC38F79F92D8B3A267E59ADCA0E8AB286B55DD1EA725F099C06B84F4981405DDEDCF80661C3E60D3C7B214DC97F3FDC8F9245E7C1F76F8BB66B529B30A
AL,Maceió,1672996,2016-10-30 21:10:47.663,3,294,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:AL MUNI:27855 ZONA:3 SECA:294 IDUE:1672996 IDCA:115244367395954221208207 VERS:5.25.0.1 LOCA:1503 APTO:394 COMP:322 FALT:72 HBMA:11 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170143 IDEL:221 CARG:11 TIPO:0 VERC:201610190734 15:93 45:193 NOMI:286 BRAN:9 NULO:27 TOTC:322 HASH:5E4F3728FE8D8FFA5FB8F2C4CDDF57DACD6C1005A187B9B5A6BAED2D4231D58393CAFCFAF7153085532C6E7F07BB6AD9BFAD9B07248046E50DB31EB8752ED6EB ASSI:F76A87D9168D54D1719128C6757604BC564D3B534C1DEA008951A116E9F9950371EEA1D67B9868A4D2CC9D963B8FD7B80E071FE5DA66D75F8FF9D2DEB45E4F0B
SE,Aracaju,1083562,2016-10-30 20:13:11.140,27,297,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SE MUNI:31054 ZONA:27 SECA:297 IDUE:1083562 IDCA:932684933691900431879764 VERS:5.25.0.1 LOCA:1627 APTO:481 COMP:369 FALT:112 HBMA:47 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170622 IDEL:221 CARG:11 TIPO:0 VERC:201610190756 40:174 65:150 NOMI:324 BRAN:10 NULO:35 TOTC:369 HASH:9500012C8C2D77D1B6A57D6966F6E1E260F191F8EC074B2E55500D49464F82C91E6928FFAD5D192AED150EEF35D583F47293ADDD768E273D1359FFE0372CD553 ASSI:7DD3A6AE618DCF39C1414C4C5FD767E05080935248B7BC3F37FF786C0C780208E995A31F2DAA7C13CF631E6F32322E72A986B5C057C8092900CDCCA5D421F501
PE,Jaboatão Dos Guararapes,1073471,2016-10-30 20:15:28.190,101,3,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:24570 ZONA:101 SECA:3 IDUE:1073471 IDCA:552575888206929099064594 VERS:5.25.0.1 LOCA:1015 APTO:383 COMP:273 FALT:110 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170021 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 12:108 22:118 NOMI:226 BRAN:14 NULO:33 TOTC:273 HASH:BE0C5FFE08738CF4EFDCABAB7E36C631F7AC316DA62D412C22C66C83F86A6998C97277F993F1F6814E3CA9FCA2F3D7A97B7CA979DD34BAE975D832EF01E7EDA8 ASSI:4743D5AA4D4D0E06C0AAA86BC574951EAA388944AE9CA189D6B1A854EE937FACE0A5C2CA9929A8D25132EC19E814B95D2A1D3D146FA3262A473F6F903F17C609
PR,Maringá,1332507,2016-10-30 19:08:48.493,66,3,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PR MUNI:76910 ZONA:66 SECA:3 IDUE:1332507 IDCA:990407327817638408632391 VERS:5.25.0.1 LOCA:1015 APTO:199 COMP:157 FALT:42 HBMA:42 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170029 IDEL:221 CARG:11 TIPO:0 VERC:201610191155 11:99 12:55 NOMI:154 BRAN:1 NULO:2 TOTC:157 HASH:0154E6A116382DC57B25658AC173DE2D2B0108EE60175F17437C90227A268D7D68056C0EE98EA8D6AAF60E05E3434439BADE8BDA53F3BC2B659688BE8E0894BF ASSI:AC631853DD5588B78BC08898A8E0C5EF87B57AD2A5DB5D0CE93ED8DDDB5B65DB62DF5FF6A9336E328A1E51F48A1C23DF4BB362DF4483B29791BD583AD54F9A08
SP,Guarulhos,1782928,2016-10-30 19:33:18.277,176,308,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:64777 ZONA:176 SECA:308 IDUE:1782928 IDCA:090033243064280480187639 VERS:5.25.0.1 LOCA:1988 APTO:356 COMP:272 FALT:84 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170322 IDEL:221 CARG:11 TIPO:0 VERC:201610181803 25:35 40:198 NOMI:233 BRAN:10 NULO:29 TOTC:272 HASH:004FBB263F28BAD9939D7AA54365CCF0B9828F40070A7AFEE9867BADB6D17E0795D3C8CB5F7D34F16CF47AD96AF84EC78A7836F4C349C8D26A098C41202A0216 ASSI:035A689EDBC1FC749BA04A422C7FD8D557A7E4D8EBAD213B974FCB83691C8F7FBE278AF65406E73C20392DB8F3A053961415F9B74E1B4D51E20B347BABB1E901
SE,Aracaju,1038609,2016-10-30 20:13:59.193,27,313,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SE MUNI:31054 ZONA:27 SECA:313 IDUE:1038609 IDCA:346725017123403945147962 VERS:5.25.0.1 LOCA:1627 APTO:465 COMP:357 FALT:108 HBMA:43 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170225 IDEL:221 CARG:11 TIPO:0 VERC:201610190756 40:158 65:156 NOMI:314 BRAN:7 NULO:36 TOTC:357 HASH:71F06A24DBBC1A13101C403E77E4AEF6B1C5A83D2F1325B65E9436D4C8870DB9FF87D64743167A7FF01C7451B60412D64AD1BE179AF0FEDA96294138B43C2770 ASSI:BB9BBA0EE911BA7AE9FCE112CABFF02C5FBB733DBE0BBFB6067FA9DFA960AD5440ED2F5F5464AB486B67BE17BE08CA61300A9DC01C4FA9B327C8802A39CFC304
PE,Jaboatão Dos Guararapes,1019018,2016-10-30 20:30:05.720,101,314,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:24570 ZONA:101 SECA:314 IDUE:1019018 IDCA:966616748056802002647839 VERS:5.25.0.1 LOCA:1015 APTO:393 COMP:306 FALT:87 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170142 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 12:111 22:140 NOMI:251 BRAN:11 NULO:44 TOTC:306 HASH:49FD27CA9A174952513E82A558BAC1071316FF280541F2C033685A80557C140E3AE781C848BDFAC220D0A3D8456C3586C0813C9255AA6F8CD20C17AE256DB9FF ASSI:C0A9185BDCCFBB1FB2E0F7D8803AF062D7181CF634C27AE23DAA33BB48EBB832127C6A5C66E72523F19B0BB52D78112B0E1663D5F8DD50F08B3986FC2A8A7D0A
SP,Guarulhos,1784957,2016-10-30 19:33:31.077,176,324,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:64777 ZONA:176 SECA:324 IDUE:1784957 IDCA:817205664436559758116860 VERS:5.25.0.1 LOCA:1988 APTO:378 COMP:304 FALT:74 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170212 IDEL:221 CARG:11 TIPO:0 VERC:201610181803 25:32 40:229 NOMI:261 BRAN:13 NULO:30 TOTC:304 HASH:250567037F3937CE2A3B66374B9647E411E4064E6B145B3742FE61557D5D4FD2879FAB0DADC7A460ED673DCD757126D4F5AD368FEA4E53209B88B8562F30AD3D ASSI:09CD2968A8D7BFB03108BB8097742AD94BC8D50BB04EA3F661B877FE0E5F02F6A4D8226E94101F0881ABB2904A2D9521FD66FEE62E011D9C851532E7BE7EDA07
SE,Aracaju,1000369,2016-10-30 20:14:24.477,27,325,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SE MUNI:31054 ZONA:27 SECA:325 IDUE:1000369 IDCA:084199048597484233388873 VERS:5.25.0.1 LOCA:1627 APTO:467 COMP:344 FALT:123 HBMA:53 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170012 IDEL:221 CARG:11 TIPO:0 VERC:201610190756 40:151 65:146 NOMI:297 BRAN:2 NULO:45 TOTC:344 HASH:C7A1720A83F9B69E4B1C2BC7EDA9F9DF43546B09C45C157B10FC23043AD0394F8203FD96E7DD68FF3F5AA7963EA824692F566C65B78F2246696E5B44CD2EC75A ASSI:6EB0EE50C2FBB2D1F8C5718484FE47C3D97BACB6FE453F8B93A05D30B54D3CC4E70083F400BF4DABC7C00F4A5DC93F81028C60DE8D8CBC519217E236913DFB03
MG,Montes Claros,1292277,2016-10-30 19:21:06.163,184,33,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:MG MUNI:48658 ZONA:184 SECA:33 IDUE:1292277 IDCA:634872175750658120500013 VERS:5.25.0.1 LOCA:1090 APTO:263 COMP:196 FALT:67 HBMA:3 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170759 IDEL:221 CARG:11 TIPO:0 VERC:201610191100 23:106 40:66 NOMI:172 BRAN:4 NULO:20 TOTC:196 HASH:A3F3F094DC47456965570CE039A81B913390B15F2B4F4D2B1C35AFA4DDFFD574E9D88851FEA839F08939672405B4014E303362B60CB21D607A2B2CF109A07797 ASSI:F34C5C56D58493DEDC312828F48B1B04C82CA9DA4FD61940060252BB1779BDF98BBB811E2DF5C983696976324C0B90BF64C7213A843E8EF465F0B4AA7884B008
RJ,São Gonçalo,1824980,2016-10-30 19:08:19.647,137,34,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:58971 ZONA:137 SECA:34 IDUE:1824980 IDCA:644071293809414106484943 VERS:5.25.0.1 LOCA:1139 APTO:398 COMP:285 FALT:113 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170025 IDEL:221 CARG:11 TIPO:0 VERC:201610190929 10:106 23:100 NOMI:206 BRAN:15 NULO:64 TOTC:285 HASH:AB9EEBCD8826B9775F2F6B6B61AFDB9AD14E0A60511C23BDE55D0BA33A521ACAE8E2BF1764E42C57D3160F736B4C83B6A0A94BC2947DC453A26C469129A5B8F1 ASSI:20B1840BBA3ADEC461DE8E47BC7474D9BCBE073C08147F4B720B64B959ED787494AED75A7A0A4412A86BDCF24628A4B9CB1439BAF6F7B216829B4E5D269E8109
SE,Aracaju,1191809,2016-10-30 20:15:13.060,27,347,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SE MUNI:31054 ZONA:27 SECA:347 IDUE:1191809 IDCA:366927689770486042555476 VERS:5.25.0.1 LOCA:1627 APTO:470 COMP:349 FALT:121 HBMA:23 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170150 IDEL:221 CARG:11 TIPO:0 VERC:201610190756 40:143 65:152 NOMI:295 BRAN:10 NULO:44 TOTC:349 HASH:0E2EE07F6D75DB4F8EFC16B7B659B0C70A89C0B8E05A45DBA3DF491E7BD054981CC43FCE4F6768B80F3FD315BB5827AFA5D3765C0CE3E164D8DBCEA4D3490778 ASSI:9A9920193EFB6445DC78F7CBFCCB863B1283F8DEC927C59068BEE388F38E4A1B59518A1050C0B75C25D46DE0EB9BC85E81887FBD1A697CC8432482D8FD8A4C06
RJ,Duque De Caxias,1769145,2016-10-30 19:04:57.940,66,35,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:58335 ZONA:66 SECA:35 IDUE:1769145 IDCA:669274426714674474243023 VERS:5.25.0.1 LOCA:1074 APTO:396 COMP:273 FALT:123 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170023 IDEL:221 CARG:11 TIPO:0 VERC:201610190910 15:100 19:106 NOMI:206 BRAN:16 NULO:51 TOTC:273 HASH:442C535FD6A46E3DF13CAA9F4B3C35612FAF7B86D1BCEF874CE7EFBD357339F6BECD8B2E6A74FCC689789961C1B1810C41F629C6F5C2016C68EAC2AF8CA901FC ASSI:7D761767403B2A11D87A57A4D0886001E92F377D04E47852331244AACAC500A4656E687B4E33A4E25CD9F70F958EB8322D5700260BCD8D780114ED86604F770C
PE,Jaboatão Dos Guararapes,1188373,2016-10-30 20:30:14.773,101,352,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:24570 ZONA:101 SECA:352 IDUE:1188373 IDCA:087828920968074550129351 VERS:5.25.0.1 LOCA:1015 APTO:393 COMP:300 FALT:93 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170236 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 12:121 22:115 NOMI:236 BRAN:19 NULO:45 TOTC:300 HASH:EC65461D2746AF0ABE93A4015993AAEB1EDFD63C3959A67DD92C46B6DC993223E28FC74994C682ED31C4830E9A3C941355E52498F75884F82D1ED32297CF4F45 ASSI:37E0F58CDBAEC39310DF1F3ABBE2D5102F23FA96D04869F6E888A3EA1E5284B65CC2FA351B9EFDD5FD608F77B892B9E601D56D4E8CCFEDE400A19CBB65300706
SP,Guarulhos,1783618,2016-10-30 19:03:23.150,176,36,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:64777 ZONA:176 SECA:36 IDUE:1783618 IDCA:605184475842388869850511 VERS:5.25.0.1 LOCA:1074 APTO:388 COMP:270 FALT:118 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170132 IDEL:221 CARG:11 TIPO:0 VERC:201610181803 25:21 40:200 NOMI:221 BRAN:9 NULO:40 TOTC:270 HASH:17CED6841DDCBD665D48CBD5B5D906702466E7FD968D9C611983BCA1440CF57CBB1AD3D2D17A225E53CBBA9C9F242A1810C5295F6B6F308599CBD9FC3D44D288 ASSI:7DDFADB7354D107F556DA577D9491B815B6BBE2B0C4DB8745436D217E4036ED97EB7411D824B2D7C0E58B7D00768255C7089F58CE45F6309AF09B27A3AC8340D
SE,Aracaju,1197716,2016-10-30 20:15:26.327,27,363,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SE MUNI:31054 ZONA:27 SECA:363 IDUE:1197716 IDCA:326523342455682835231772 VERS:5.25.0.1 LOCA:1627 APTO:466 COMP:352 FALT:114 HBMA:54 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170629 IDEL:221 CARG:11 TIPO:0 VERC:201610190756 40:174 65:122 NOMI:296 BRAN:10 NULO:46 TOTC:352 HASH:B2C24AC6B7E3BA1FED6FD7BFFD6EC25FC97D05D2C0AF3D0C14E95668E84F7A6FA70585ECA45654658B8B56480B2FDDB437D0A0B9CE7853997E73B987CC32B5A8 ASSI:044BEC97ABAE0EF98960A76290AD0506BDDC590D64DEBD8CCD74AF55EF74B1BE3DB527F6C6CD5029351F76215BD66DC6DB1019FEB6C55205AF6D76681DDB1903
PE,Jaboatão Dos Guararapes,1063161,2016-10-30 20:30:34.917,101,367,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:24570 ZONA:101 SECA:367 IDUE:1063161 IDCA:451565912942218625766099 VERS:5.25.0.1 LOCA:1015 APTO:390 COMP:316 FALT:74 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170138 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 12:111 22:146 NOMI:257 BRAN:16 NULO:43 TOTC:316 HASH:6D705EAD237956A95A3AD808A60FF1BEB4FFD14C9E05E87DBA9BDC223CAFEA0702427DA4CD95A16F8AEF1DDB269E39ADF5EBFED3870248ACEC4C1A3D102BDD12 ASSI:AE035F9ECF8FE2592E4B379CF4E0C32091CC7E13ECB5E629C6568DCEC82F26055FC95EE4C5FCC09022101DDC38054FB0D05CF1B2E0C299774469EE57F363B50E
